==========================================
SLURM_CLUSTER_NAME = param-shivay
SLURM_JOB_ACCOUNT = electronics_engg
SLURM_JOB_ID = 911407
SLURM_JOB_NAME = paper14
SLURM_JOB_NODELIST = gpu001
SLURM_JOB_USER = jasnoors.ece21.itbhu
SLURM_JOB_UID = 5861
SLURM_JOB_PARTITION = gpu
SLURM_TASK_PID = 22649
SLURM_SUBMIT_DIR = /home/jasnoors.ece21.itbhu/ubiq14
SLURM_CPUS_ON_NODE = 40
SLURM_NTASKS = 40
SLURM_TASK_PID = 22649
==========================================
PyTorch version: 2.1.0
Using device: cuda
done loading models
Student logits shape: torch.Size([1, 10575])
Student hidden representation shape: torch.Size([1, 1280])
Student hidden correct size representation shape: torch.Size([1, 512])
Teacher hidden representation shape: torch.Size([1, 512])
Epoch 1/300, Loss: 7.01391844582794
Epoch 2/300, Loss: 6.720201990538484
Epoch 3/300, Loss: 6.574120270565393
Epoch 4/300, Loss: 6.536950859851867
Epoch 5/300, Loss: 6.540571877902911
Epoch 6/300, Loss: 6.584225215076095
Epoch 7/300, Loss: 6.714688612013107
Epoch 8/300, Loss: 6.981636141884993
Epoch 9/300, Loss: 6.9793739639723995
Epoch 10/300, Loss: 6.979377175223162
Epoch 11/300, Loss: 6.979377646090528
Epoch 12/300, Loss: 6.979377749318186
Epoch 13/300, Loss: 6.97937775006441
Epoch 14/300, Loss: 6.979377742104687
Epoch 15/300, Loss: 6.9793777426021695
Epoch 16/300, Loss: 6.979377744840842
Epoch 17/300, Loss: 6.979377751556858
Epoch 18/300, Loss: 6.979377746582031
Epoch 19/300, Loss: 6.979377735886153
Epoch 20/300, Loss: 6.97937774086098
Epoch 21/300, Loss: 6.979377733896222
Epoch 22/300, Loss: 6.979377743348394
Epoch 23/300, Loss: 6.979377737876084
Epoch 24/300, Loss: 6.979377736134895
Epoch 25/300, Loss: 6.979377741855946
Epoch 26/300, Loss: 6.979377730662585
Epoch 27/300, Loss: 6.979377737627343
Epoch 28/300, Loss: 6.9793777411097215
Epoch 29/300, Loss: 6.97937773513993
Epoch 30/300, Loss: 6.979377730165102
Epoch 31/300, Loss: 6.9793777314088095
Epoch 32/300, Loss: 6.9793777445921
Epoch 33/300, Loss: 6.979377738124826
Epoch 34/300, Loss: 6.979377734393705
Epoch 35/300, Loss: 6.97937773513993
Epoch 36/300, Loss: 6.979377742353428
Epoch 37/300, Loss: 6.979377735637412
Epoch 38/300, Loss: 6.979377733647481
Epoch 39/300, Loss: 6.979377746582031
Epoch 40/300, Loss: 6.979377745587066
Epoch 41/300, Loss: 6.979377724444052
Epoch 42/300, Loss: 6.979377738622309
Epoch 43/300, Loss: 6.979377735886153
Epoch 44/300, Loss: 6.979377737378601
Epoch 45/300, Loss: 6.979377735886153
Epoch 46/300, Loss: 6.979377737627343
Epoch 47/300, Loss: 6.97937773712986
Epoch 48/300, Loss: 6.979377737876084
Epoch 49/300, Loss: 6.9793777416072045
Epoch 50/300, Loss: 6.979377729418879
Epoch 51/300, Loss: 6.979377736632378
Epoch 52/300, Loss: 6.979377732901257
Epoch 53/300, Loss: 6.9793777401147565
Epoch 54/300, Loss: 6.979377735637412
Epoch 55/300, Loss: 6.9793777426021695
Epoch 56/300, Loss: 6.979377739866015
Epoch 57/300, Loss: 6.979377739617274
Epoch 58/300, Loss: 6.979377743597135
Epoch 59/300, Loss: 6.979377745587066
Epoch 60/300, Loss: 6.97937772966762
Epoch 61/300, Loss: 6.979377732901257
Epoch 62/300, Loss: 6.979377738373567
Epoch 63/300, Loss: 6.979377734642447
Epoch 64/300, Loss: 6.979377728175172
Epoch 65/300, Loss: 6.979377748820704
Epoch 66/300, Loss: 6.979377737876084
Epoch 67/300, Loss: 6.979377748820704
Epoch 68/300, Loss: 6.97937773712986
